drug,pt,a,ROR,ROR_lcl,ROR_ucl,signal,subgroup_var,subgroup_level
cinnarizine,RASH ERYTHEMATOUS,6,8.83686807646851,3.9392792893293,19.8234833494641,TRUE,给药途径,Unknown/Missing
cinnarizine,DYSURIA,4,7.84007064137645,2.92389968840457,21.0221670413435,TRUE,给药途径,Unknown/Missing
cinnarizine,"HALLUCINATION, VISUAL",4,14.022144233547,5.22918326165167,37.6006192684651,TRUE,给药途径,Unknown/Missing
cinnarizine,SINUS TACHYCARDIA,4,22.7320451084496,8.47667345560849,60.9609273636333,TRUE,给药途径,Unknown/Missing
cinnarizine,DELIRIUM,3,6.18255191649522,1.98308294935909,19.2750122794976,TRUE,给药途径,Unknown/Missing
cinnarizine,GLAUCOMA,3,10.7085988837488,3.43467912343578,33.3871333920461,TRUE,给药途径,Unknown/Missing
cinnarizine,RASH GENERALISED,3,9.76929692737394,3.13343647218928,30.4583045810137,TRUE,给药途径,Unknown/Missing
cinnarizine,RASH MACULAR,3,5.76624013722799,1.84955663883379,17.9770246674598,TRUE,给药途径,Unknown/Missing
cinnarizine,RASH PAPULAR,3,9.35646245004511,3.00103492924298,29.1710665297679,TRUE,给药途径,Unknown/Missing
cinnarizine,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS,3,97.5147850895414,31.2498851253338,304.293384533134,TRUE,给药途径,Unknown/Missing
cinnarizine,URINARY RETENTION,3,6.3417232618914,2.03413468907263,19.7712836551398,TRUE,给药途径,Unknown/Missing
cinnarizine,AMNESIA,2,2.35008181648589,0.585133700476418,9.43867109291579,FALSE,给药途径,Unknown/Missing
cinnarizine,DIZZINESS POSTURAL,2,13.6583605777069,3.40024704336803,54.8638999729488,FALSE,给药途径,Unknown/Missing
cinnarizine,MYDRIASIS,2,12.059872611465,3.00236253401434,48.4420271559611,FALSE,给药途径,Unknown/Missing
cinnarizine,PRURITUS GENERALISED,2,7.34072922478788,1.82761515923779,29.4844925526488,FALSE,给药途径,Unknown/Missing
cinnarizine,RASH PRURITIC,2,2.51299735458442,0.625695877019122,10.0930115349877,FALSE,给药途径,Unknown/Missing
cinnarizine,SEDATION,2,5.4058143819526,1.34591298321431,21.7122722617145,FALSE,给药途径,Unknown/Missing
cinnarizine,DRY EYE,1,1.28076807608883,0.179842983776896,9.12110570164495,FALSE,给药途径,Unknown/Missing
cinnarizine,ERYTHEMA MULTIFORME,1,8.35478187304896,1.17301773755977,59.506670624979,FALSE,给药途径,Unknown/Missing
cinnarizine,INJECTION SITE ERYTHEMA,1,0.574829614463912,0.0807174592062358,4.09365072828261,FALSE,给药途径,Unknown/Missing
cinnarizine,LIP PRURITUS,1,69.9973162332265,9.81712754928815,499.089398121305,FALSE,给药途径,Unknown/Missing
cinnarizine,PHARYNGEAL ERYTHEMA,1,34.7586790505676,4.87790019664822,247.681527016592,FALSE,给药途径,Unknown/Missing
cinnarizine,TENSION HEADACHE,1,15.0883290663936,2.11816432290615,107.478759581518,FALSE,给药途径,Unknown/Missing
cinnarizine,HYPOTENSION,5,60.8740043698308,20.400499219922,181.644790554902,TRUE,给药途径,Other
