pt,faers_a,faers_ror,faers_lcl,faers_signal,faers_trio,canada_a,canada_n_pt_all,canada_ror,canada_lcl,verdict
APPLICATION SITE SCAR,9,20.1228205036091,10.4356481717678,TRUE,TRUE,0,,,,insufficient (a=0)
APPLICATION SITE URTICARIA,9,11.5906294359921,6.01831051984587,TRUE,TRUE,0,,,,insufficient (a=0)
ATRIOVENTRICULAR BLOCK SECOND DEGREE,9,9.35277336804674,4.85790473968982,TRUE,TRUE,0,,,,insufficient (a=0)
BRADYKINESIA,9,3.81317819082684,1.98218894053585,TRUE,TRUE,0,,,,insufficient (a=0)
DEFORMITY,9,3.42915570058644,1.78266356375071,TRUE,TRUE,0,,,,insufficient (a=0)
FISTULA,9,2.19118114701073,1.13930133529067,TRUE,TRUE,0,2920,,,insufficient (a=0)
FUNGAL OESOPHAGITIS,9,36.4690002466648,18.8681126068954,TRUE,TRUE,0,,,,insufficient (a=0)
GASTROINTESTINAL STROMAL TUMOUR,9,9.10406626311225,4.72889498251003,TRUE,TRUE,0,,,,insufficient (a=0)
GENERALISED OEDEMA,9,2.22426280891773,1.15649653431093,TRUE,TRUE,0,,,,insufficient (a=0)
HAEMODYNAMIC INSTABILITY,9,3.38829825923366,1.76143407888555,TRUE,TRUE,0,,,,insufficient (a=0)
HEPATITIS ACUTE,9,4.2876405595732,2.22867314080853,TRUE,TRUE,0,,,,insufficient (a=0)
HEPATITIS CHOLESTATIC,9,4.76069045515418,2.47438973501511,TRUE,TRUE,0,,,,insufficient (a=0)
HYPERHOMOCYSTEINAEMIA,9,109.805701345098,56.2174368704948,TRUE,TRUE,0,,,,insufficient (a=0)
INTERNATIONAL NORMALISED RATIO DECREASED,9,10.2134471695637,5.30428302201835,TRUE,TRUE,0,,,,insufficient (a=0)
INTRA-ABDOMINAL HAEMATOMA,9,20.5736628632117,10.6687575949157,TRUE,TRUE,0,,,,insufficient (a=0)
OROPHARYNGEAL DISCOMFORT,9,2.43577164732426,1.26643077198551,TRUE,TRUE,0,,,,insufficient (a=0)
PANIC REACTION,9,3.65842217792025,1.90178551620403,TRUE,TRUE,0,,,,insufficient (a=0)
PATHOLOGICAL FRACTURE,9,5.12559116668601,2.66390726481802,TRUE,TRUE,0,,,,insufficient (a=0)
PHARYNGITIS,9,1.99199691681419,1.03576578382718,TRUE,FALSE,0,2272,,,insufficient (a=0)
PUPILS UNEQUAL,9,28.6170713885337,14.8225238530044,TRUE,TRUE,0,,,,insufficient (a=0)
RENAL ARTERY STENOSIS,9,22.7004967279598,11.768033667658,TRUE,TRUE,0,,,,insufficient (a=0)
RENAL CYST,9,3.2910941428857,1.71092590593534,TRUE,TRUE,0,,,,insufficient (a=0)
RESPIRATORY SYNCYTIAL VIRUS INFECTION,9,2.54670811497991,1.32408862009518,TRUE,TRUE,0,,,,insufficient (a=0)
TARDIVE DYSKINESIA,9,1.93544852075806,1.00637095173361,TRUE,FALSE,0,,,,insufficient (a=0)
TORTICOLLIS,9,12.8761414845965,6.68455250560933,TRUE,TRUE,0,,,,insufficient (a=0)
WHITE BLOOD CELLS URINE POSITIVE,9,14.3181053038222,7.43158333240964,TRUE,TRUE,0,,,,insufficient (a=0)
WOUND INFECTION,9,2.16485821554405,1.1256190736574,TRUE,TRUE,0,,,,insufficient (a=0)
APHAGIA,8,6.66710104385856,3.32956094281212,TRUE,TRUE,0,,,,insufficient (a=0)
APPLICATION SITE EROSION,8,16.7657804455115,8.35985643928887,TRUE,TRUE,0,,,,insufficient (a=0)
APPLICATION SITE HAEMORRHAGE,8,6.60819975346291,3.30017548942489,TRUE,TRUE,0,,,,insufficient (a=0)
APPLICATION SITE HYPERSENSITIVITY,8,16.9878572179424,8.47030059236905,TRUE,TRUE,0,,,,insufficient (a=0)
BLOOD PHOSPHORUS DECREASED,8,6.03706040712631,3.01521029911412,TRUE,TRUE,0,,,,insufficient (a=0)
BLOOD UREA DECREASED,8,22.9622051719238,11.4386634201881,TRUE,TRUE,0,,,,insufficient (a=0)
CACHEXIA,8,4.59633150464487,2.29614785433511,TRUE,TRUE,0,251,,,insufficient (a=0)
CARDIAC AMYLOIDOSIS,8,18.3040186398719,9.12470488735265,TRUE,TRUE,0,,,,insufficient (a=0)
CLONUS,8,8.46538622841876,4.22645666320736,TRUE,TRUE,0,110,,,insufficient (a=0)
CONTRAINDICATED DRUG ADMINISTERED,8,25.9487512615836,12.9204941351879,TRUE,TRUE,0,,,,insufficient (a=0)
ECONOMIC PROBLEM,8,2.13217952460148,1.06555839912997,TRUE,TRUE,0,,,,insufficient (a=0)
ENDOMETRIOSIS,8,4.43506091975657,2.215638434551,TRUE,TRUE,0,,,,insufficient (a=0)
ESCHERICHIA BACTERAEMIA,8,9.07287945651564,4.52933203452244,TRUE,TRUE,0,,,,insufficient (a=0)
FAILURE TO THRIVE,8,4.94997361061877,2.47267887999631,TRUE,TRUE,0,,,,insufficient (a=0)
GASTROINTESTINAL MOTILITY DISORDER,8,3.89595436507937,1.94647688239525,TRUE,TRUE,0,,,,insufficient (a=0)
HYPERPROLACTINAEMIA,8,3.06022498227612,1.52913101950075,TRUE,TRUE,0,,,,insufficient (a=0)
HYPERREFLEXIA,8,7.22814630779848,3.60943588826909,TRUE,TRUE,0,,,,insufficient (a=0)
HYPOPHOSPHATAEMIA,8,2.92266352410931,1.4604253826843,TRUE,TRUE,0,,,,insufficient (a=0)
HYSTERECTOMY,8,2.56760647817035,1.28307721039378,TRUE,TRUE,0,,,,insufficient (a=0)
IRON DEFICIENCY ANAEMIA,8,2.40193325814201,1.20031810987834,TRUE,TRUE,0,452,,,insufficient (a=0)
PROCEDURAL COMPLICATION,8,4.04340729300729,2.0201006479928,TRUE,TRUE,0,,,,insufficient (a=0)
PSEUDOMONAS INFECTION,8,2.69972692396756,1.34907259115463,TRUE,TRUE,0,,,,insufficient (a=0)
PYELONEPHRITIS,8,2.56467049034216,1.28161062686756,TRUE,TRUE,0,,,,insufficient (a=0)
RENAL PAIN,8,2.09605744908419,1.04751219834906,TRUE,TRUE,0,,,,insufficient (a=0)
RESPIRATORY ACIDOSIS,8,5.8539690820356,2.9238478031788,TRUE,TRUE,0,,,,insufficient (a=0)
SERUM FERRITIN INCREASED,8,4.49166335068762,2.24389592725512,TRUE,TRUE,0,,,,insufficient (a=0)
SPUTUM DISCOLOURED,8,2.13904357843721,1.06898758393924,TRUE,TRUE,0,,,,insufficient (a=0)
TONGUE BITING,8,12.434745108385,6.20441997031325,TRUE,TRUE,0,,,,insufficient (a=0)
TUMOUR LYSIS SYNDROME,8,2.41194285543654,1.20531834558602,TRUE,TRUE,0,,,,insufficient (a=0)
VASCULAR DEVICE INFECTION,8,4.03522572220617,2.01601564859743,TRUE,TRUE,0,,,,insufficient (a=0)
ABDOMINAL INFECTION,7,7.18273674046486,3.41902946710484,TRUE,TRUE,2,281,73.798579109063,18.1409951661318,replicated
AKINESIA,7,9.94252198635817,4.73055516302706,TRUE,TRUE,0,,,,insufficient (a=0)
BLINDNESS TRANSIENT,7,2.75922875815477,1.31436857158151,TRUE,TRUE,0,,,,insufficient (a=0)
BLOOD CREATININE DECREASED,7,6.17465721633431,2.93966514013291,TRUE,TRUE,0,,,,insufficient (a=0)
BLOOD SODIUM INCREASED,7,8.32039777300273,3.95982158449914,TRUE,TRUE,0,131,,,insufficient (a=0)
BRAIN ABSCESS,7,7.55227901463062,3.59471520989235,TRUE,TRUE,0,,,,insufficient (a=0)
BRUXISM,7,3.74686623460392,1.78454268639036,TRUE,TRUE,0,,,,insufficient (a=0)
CENTRAL VENOUS CATHETERISATION,7,5.71621057061306,2.72161086031851,TRUE,TRUE,0,151,,,insufficient (a=0)
COLITIS ISCHAEMIC,7,3.1942686379579,1.52149226451871,TRUE,TRUE,0,,,,insufficient (a=0)
CONCUSSION,7,2.38420140228807,1.13579316256451,TRUE,TRUE,0,,,,insufficient (a=0)
CONVULSIVE THRESHOLD LOWERED,7,60.6577560292644,28.6217813174431,TRUE,TRUE,0,,,,insufficient (a=0)
DRUG DIVERSION,7,3.03849775996902,1.44733273167409,TRUE,TRUE,0,,,,insufficient (a=0)
EMERGENCY CARE,7,5.46176386811998,2.60057232990684,TRUE,TRUE,0,,,,insufficient (a=0)
ENCEPHALITIS,7,2.83803225840793,1.35188933977328,TRUE,TRUE,0,,,,insufficient (a=0)
EYE MOVEMENT DISORDER,7,2.95278465968708,1.40652474121995,TRUE,TRUE,0,,,,insufficient (a=0)
FLANK PAIN,7,2.13341213479493,1.01636342980845,TRUE,TRUE,0,,,,insufficient (a=0)
GRAFT VERSUS HOST DISEASE,7,3.06938462724904,1.46203768057223,TRUE,TRUE,0,243,,,insufficient (a=0)
GROIN PAIN,7,2.18235038525155,1.0396693580954,TRUE,TRUE,0,,,,insufficient (a=0)
